name,price,neighbourhood_cleansed,room_type,minimum_nights,accommodates,bedrooms,beds,bathroom_count,bathroom_type
Historic Bungalow - 3 BR & 2.5 Bath,100.0,District 17,Entire home/apt,30,4,2.0,3.0,2.5,bath
"Downtown/Gulch, walk everywhere!.!",369.0,District 19,Entire home/apt,2,12,4.0,11.0,2.0,bath
Cozy 1920s Cottage in 12th South,277.0,District 17,Entire home/apt,5,4,2.0,2.0,2.0,bath
Cozy/Cute/Very Safe TreeTop apt in East Nashville,56.0,District 7,Entire home/apt,1,6,1.0,2.0,1.0,bath
"Modern, Stylish,  5 ★ Cottage close to EVERYTHING!",80.0,District 6,Entire home/apt,30,4,2.0,2.0,1.0,bath
The Green Menagerie,89.0,District 27,Private room,1,2,1.0,1.0,1.0,private bath
Beautiful Loft Apt East Nashville,91.0,District 6,Entire home/apt,2,2,1.0,2.0,1.0,bath
Gated community w/yard & parking✦Close to Downtown,390.0,District 17,Entire home/apt,2,16,4.0,7.0,2.5,bath
Southern Hospitality - With 2 Rooms! Private Bath!,90.0,District 17,Private room,4,2,2.0,1.0,1.0,bath
"East Nash tucked away, retro, killer porch, view!",212.0,District 6,Entire home/apt,1,6,2.0,2.0,1.0,bath
"River View, Dock, Pool, Hot tub, CASR-201517041",694.0,District 15,Entire home/apt,3,12,4.0,8.0,3.0,bath
"TRAVELERS PL  Blue Room  Female, NS Only plz",30.0,District 12,Private room,30,1,1.0,1.0,1.0,private bath
3BR Artsy Retro in East Nashville: Long Stays!,96.0,District 7,Entire home/apt,30,4,3.0,3.0,1.0,bath
"Cute, Cozy Cottage in Nashville",179.0,District 24,Entire home/apt,2,4,2.0,2.0,1.0,bath
Light-filled Modern Bungalow at Musician's Hideaway,495.0,District 6,Entire home/apt,3,2,1.0,1.0,1.0,bath
"Broadway , Downtown ,Vandy ,Belmont, Pets welcome",230.0,District 17,Entire home/apt,1,9,3.0,4.0,1.5,bath
Downtown Nashville Condo on River,196.0,District 19,Entire home/apt,2,4,1.0,2.0,1.0,bath
East Nashville Underground Apt.,89.0,District 7,Entire home/apt,1,6,1.0,3.0,1.0,bath
Artistic Craftsman Home in East Nashville,245.0,District 5,Entire home/apt,2,6,2.0,3.0,1.5,bath
A Downtown Great GetAway!,270.0,District 21,Entire home/apt,2,10,3.0,4.0,2.0,bath
"Poodle Springs, Luxury Lodging",150.0,District 34,Private room,30,1,1.0,1.0,1.0,private bath
The Launch Pad,132.0,District 17,Entire home/apt,1,4,2.0,2.0,2.0,bath
Luxurious Downtown Corner Views 2 bed 2bath-#211,249.0,District 19,Entire home/apt,2,6,2.0,3.0,2.0,bath
12th S- WALK TO RESTAURANTS!! 3 MILES TO DOWNTOWN,313.0,District 17,Entire home/apt,3,12,4.0,5.0,3.0,bath
East Nashville Loft-Style Apartment,69.0,District 6,Entire home/apt,31,2,1.0,1.0,1.0,bath
Nashville Carriage House,76.0,District 6,Entire home/apt,1,2,1.0,1.0,1.0,bath
Hillisboro Treehouse:  Stay 30+ Days Only,56.0,District 18,Entire home/apt,30,2,1.0,1.0,1.0,bath
Loaded Vagabond Studio (Near Opry and Downtown),75.0,District 15,Entire home/apt,2,3,1.0,1.0,1.0,bath
Cute Nashville Craftsman Apt-Minutes to Downtown!,80.0,District 5,Entire home/apt,2,5,2.0,2.0,1.0,bath
Greenway Golden Bnb - E. Nashville getaway,149.0,District 7,Entire home/apt,1,4,1.0,2.0,1.0,bath
Spacious 1BD in Quiet Green Setting,250.0,District 23,Entire home/apt,30,2,1.0,2.0,1.0,bath
Beautiful Belmont Home Perfect for New Years Eve,309.0,District 18,Entire home/apt,3,9,4.0,5.0,3.5,bath
Mt Juliet: 1BR Happy Hollow Cabin,106.0,District 33,Entire home/apt,5,2,1.0,1.0,1.0,bath
"Mulberry House, Upscale Guest Cottage in Nashville",325.0,District 25,Entire home/apt,2,4,1.0,2.0,1.0,bath
!!RIVERFRONT CONDO WITH POOL*WALK TO BROADWAY!! 60,88.0,District 19,Entire home/apt,1,4,1.0,3.0,1.0,bath
JOY Mansion7 Minutes to Broadway with hot tub,557.0,District 5,Entire home/apt,3,12,4.0,9.0,3.0,bath
East Nashville 3BR - Great location,160.0,District 5,Entire home/apt,2,6,3.0,3.0,1.0,bath
12 South Apartment for Rent,80.0,District 18,Entire home/apt,1,4,1.0,1.0,1.0,bath
Cozy Green Hills apartment (1 mi from Lipscomb U.),99.0,District 25,Entire home/apt,3,4,1.0,2.0,1.0,bath
Entire Cozy Cottage/5 Points/E Nash,112.0,District 6,Entire home/apt,2,4,2.0,2.0,1.0,bath
Freshly Renovated Historic Suite,100.0,District 24,Entire home/apt,1,10,4.0,6.0,1.0,bath
Creatives Dream! Berry Hill Area-Janis Joplin Room,37.0,District 17,Private room,30,1,1.0,1.0,1.0,shared bath
Beautiful Home - Historic Neighborhood!,490.0,District 6,Entire home/apt,7,6,3.0,4.0,2.0,bath
Sunny treetop loft walk to 5 points,139.0,District 6,Entire home/apt,1,2,1.0,1.0,1.0,bath
